Reagent,Molecular Weight (g/mol),
ACES,182.17,
N-(2-Acetamido)-2-aminoethanesulfonic acid,182.17,
Acetate,59.04,
Acetic acid,60.05,
CH3COOH,60.05,
ADA,190.15,
N-(2-Acetamido)iminodiacetic acid,190.15,
Alanine,89.09,
AMPD,105.14,
AMPSO,251.3,
Ammonium acetate,77.08,
Ammonium bicarbonate,79.06,
Ammonium chloride,53.49,
NH4Cl,53.49,
Ammonium citrate dibasic,226.19,
Ammonium formate,63.06,
Ammonium phosphate dibasic,132.06,
(NH4)2HPO4,132.06,
Ammonium phosphate monobasic,115.03,
NH4H2PO4,115.03,
Ammonium sulfate,132.14,
(NH4)2SO4,132.14,
Ammonium tartrate dibasic,184.15,
Asparagine,132.12,
Aspartic acid,133.1,
BES,213.24,
BICINE,163.17,
Bis-Tris,209.24,
Bis(2-hydroxyethyl)amino-tris(hydroxymethyl)methane,209.24,
Bis-Tris propane,282.33,
Boric acid,61.83,
H3BO3,61.83,
CABS,221.32,
N-(Cyclohexylamino)-1-butanesulfonic acid,221.32,
Cacodylic acid,137.99,
Calcium acetate,158.17,
Calcium bicarbonate,162.11,
Calcium carbonate,100.09,
CaCO3,100.09,
Calcium chloride,110.98,
CaCl2,110.98,
Calcium citrate,498.44,
Calcium hydroxide,74.09,
Ca(OH)2,74.09,
Calcium lactate,218.22,
Calcium phosphate dibasic,136.06,
CaHPO4,136.06,
Calcium phosphate monobasic,234.05,
Ca(H2PO4)2,234.05,
Calcium phosphate tribasic,310.18,
Ca3(PO4)2,310.18,
CAPS,221.32,
N-Cyclohexyl-3-aminopropanesulfonic acid,221.32,
CAPSO,237.31,
N-Cyclohexyl-2-hydroxy-3-aminopropanesulfonic acid,237.31,
CHES,207.29,
N-Cyclohexyl-2-aminoethanesulfonic acid,207.29,
Citric acid,192.12,
C6H8O7,192.12,
Creatinine,113.12,
DIPSO,261.3,
Disodium citrate,236.09,
Disodium phosphate,141.96,
Na2HPO4,141.96,
EDTA,292.24,
Ethylenediaminetetraacetic acid,292.24,
EDTA Disodium Salt,336.21,
EGTA,380.35,
Egtazic acid,380.35,
EPPS,252.33,
HEPPS,252.33,
